camera_id,msg_seq,t1_sec,t1_nsec,t2_sec,t2_nsec,t3_sec,t3_nsec,t4_sec,t4_nsec,lat_t1_t2_ms,lat_t2_t3_ms,lat_t3_t4_ms,lat_t1_t4_total_ms
left,383258400,12930,383258400,12930,392087661,12930,451516714,12930,466930794,12930,468929081,8.829,59.429,15.414,1.998,76.841,85.671
front,413813354,12930,413813354,12930,422254944,12930,451516714,12930,468048713,12930,469569684,8.442,29.262,16.532,1.521,47.315,55.756
right,445354316,12930,445354316,12930,451444238,12930,451516714,12930,469243048,12930,470526109,6.090,0.072,17.726,1.283,19.082,25.172
left,483277408,12930,483277408,12930,492310874,12930,551390989,12930,566917873,12930,568580902,9.033,59.080,15.527,1.663,76.270,85.303
front,513858360,12930,513858360,12930,522414391,12930,551390989,12930,568090173,12930,569577410,8.556,28.977,16.699,1.487,47.163,55.719
right,545373512,12930,545373512,12930,551265929,12930,551390989,12930,569203201,12930,570456419,5.892,0.125,17.812,1.253,19.190,25.083
left,583222786,12930,583222786,12930,592344341,12930,651519157,12930,666872873,12930,668534520,9.122,59.175,15.354,1.662,76.190,85.312
front,613855054,12930,613855054,12930,621824799,12930,651519157,12930,667942302,12930,669140394,7.970,29.694,16.423,1.198,47.316,55.285
right,645357096,12930,645357096,12930,651209369,12930,651519157,12930,668854024,12930,670459432,5.852,0.310,17.335,1.605,19.250,25.102
left,683281641,12930,683281641,12930,692441472,12930,752664256,12930,767950678,12930,769637308,9.160,60.223,15.286,1.687,77.196,86.356
front,713823458,12930,713823458,12930,721902834,12930,752664256,12930,769011493,12930,770286253,8.079,30.761,16.347,1.275,48.383,56.463
right,745376387,12930,745376387,12930,752554795,12930,752664256,12930,769975143,12930,771353352,7.178,0.109,17.311,1.378,18.799,25.977
left,783247175,12930,783247175,12930,794684390,12930,851490373,12930,866797390,12930,868624005,11.437,56.806,15.307,1.827,73.940,85.377
front,813848685,12930,813848685,12930,822145148,12930,851490373,12930,867957124,12930,869137044,8.296,29.345,16.467,1.180,46.992,55.288
right,845387167,12930,845387167,12930,851390276,12930,851490373,12930,868957621,12930,870310017,6.003,0.100,17.467,1.352,18.920,24.923
left,883390063,12930,883390063,12930,892342895,12930,952053598,12930,967482210,12930,969566639,8.953,59.711,15.429,2.084,77.224,86.177
front,913829545,12930,913829545,12930,921943106,12930,952053598,12930,968950623,12930,970501563,8.114,30.110,16.897,1.551,48.558,56.672
right,945368251,12930,945368251,12930,951954807,12930,952053598,12930,970322865,12930,971736429,6.587,0.099,18.269,1.414,19.782,26.368
left,983186848,12930,983186848,12930,993026679,12931,053760330,12931,070662744,12931,072637051,9.840,60.734,16.902,1.974,79.610,89.450
front,13832906,12931,013832906,12931,021446547,12931,053760330,12931,071962185,12931,073388317,7.614,32.314,18.202,1.426,51.942,59.555
right,45370792,12931,045370792,12931,053622160,12931,053760330,12931,073194468,12931,074645214,8.251,0.138,19.434,1.451,21.023,29.274
left,83289099,12931,083289099,12931,093375769,12931,153508927,12931,169136284,12931,170618898,10.087,60.133,15.627,1.483,77.243,87.330
front,113833458,12931,113833458,12931,122915647,12931,153508927,12931,170242193,12931,171543292,9.082,30.593,16.733,1.301,48.628,57.710
right,145395301,12931,145395301,12931,153396302,12931,153508927,12931,171311815,12931,172414964,8.001,0.113,17.803,1.103,19.019,27.020
left,183156130,12931,183156130,12931,192401738,12931,252016078,12931,267880018,12931,269394333,9.246,59.614,15.864,1.514,76.993,86.238
front,213830788,12931,213830788,12931,221886685,12931,252016078,12931,268911946,12931,270210783,8.056,30.129,16.896,1.299,48.324,56.380
right,245421564,12931,245421564,12931,251892719,12931,252016078,12931,269941905,12931,270915100,6.471,0.123,17.926,0.973,19.022,25.494
left,283212543,12931,283212543,12931,292053089,12931,351367101,12931,367645896,12931,369220058,8.841,59.314,16.279,1.574,77.167,86.008
front,313780917,12931,313780917,12931,321197665,12931,351367101,12931,368725475,12931,370250097,7.417,30.169,17.358,1.525,49.052,56.469
right,345373963,12931,345373963,12931,351260826,12931,351367101,12931,370284951,12931,371687836,5.887,0.106,18.918,1.403,20.427,26.314
left,383275671,12931,383275671,12931,392263681,12931,452623880,12931,467987362,12931,469672927,8.988,60.360,15.363,1.686,77.409,86.397
front,413787517,12931,413787517,12931,421448745,12931,452623880,12931,469177171,12931,470312468,7.661,31.175,16.553,1.135,48.864,56.525
right,445370195,12931,445370195,12931,452517516,12931,452623880,12931,470143029,12931,471320977,7.147,0.106,17.519,1.178,18.803,25.951
left,483356701,12931,483356701,12931,493409324,12931,551409352,12931,567366590,12931,569057763,10.053,58.000,15.957,1.691,75.648,85.701
front,513833602,12931,513833602,12931,521635443,12931,551409352,12931,568445622,12931,569866615,7.802,29.774,17.036,1.421,48.231,56.033
right,545371906,12931,545371906,12931,551307766,12931,551409352,12931,569836192,12931,571926585,5.936,0.102,18.427,2.090,20.619,26.555
left,583204386,12931,583204386,12931,592396499,12931,651394974,12931,669130377,12931,670739884,9.192,58.998,17.735,1.610,78.343,87.535
front,613819813,12931,613819813,12931,621706954,12931,651394974,12931,670152545,12931,671386820,7.887,29.688,18.758,1.234,49.680,57.567
right,645381594,12931,645381594,12931,651285250,12931,651394974,12931,671398173,12931,673402518,5.904,0.110,20.003,2.004,22.117,28.021
left,683273337,12931,683273337,12931,692036436,12931,751649696,12931,766956766,12931,768663117,8.763,59.613,15.307,1.706,76.627,85.390
front,713822904,12931,713822904,12931,721667044,12931,751649696,12931,768029067,12931,769423696,7.844,29.983,16.379,1.395,47.757,55.601
right,745386792,12931,745386792,12931,751535143,12931,751649696,12931,769216117,12931,771484073,6.148,0.115,17.566,2.268,19.949,26.097
left,783240562,12931,783240562,12931,791854887,12931,851393086,12931,866932466,12931,868708842,8.614,59.538,15.539,1.776,76.854,85.468
front,813821580,12931,813821580,12931,821946368,12931,851393086,12931,868076274,12931,869340329,8.125,29.447,16.683,1.264,47.394,55.519
right,845379937,12931,845379937,12931,851292204,12931,851393086,12931,869157063,12931,870409980,5.912,0.101,17.764,1.253,19.118,25.030
left,883204502,12931,883204502,12931,892094842,12931,952254282,12931,968776497,12931,970573340,8.890,60.159,16.522,1.797,78.478,87.369
front,913836045,12931,913836045,12931,922737376,12931,952254282,12931,969909178,12931,971275609,8.901,29.517,17.655,1.366,48.538,57.440
right,945391618,12931,945391618,12931,952124045,12931,952254282,12931,971245870,12931,972945203,6.732,0.130,18.992,1.699,20.821,27.554
left,983242539,12931,983242539,12931,992317523,12932,051830497,12932,067266577,12932,069156171,9.075,59.513,15.436,1.890,76.839,85.914
front,13830599,12932,013830599,12932,022190560,12932,051830497,12932,068328150,12932,069878116,8.360,29.640,16.498,1.550,47.688,56.048
right,45376856,12932,045376856,12932,051738679,12932,051830497,12932,069450597,12932,070809777,6.362,0.092,17.620,1.359,19.071,25.433
left,83232633,12932,083232633,12932,095161834,12932,153037604,12932,168549749,12932,170488629,11.929,57.876,15.512,1.939,75.327,87.256
front,113861560,12932,113861560,12932,123522749,12932,153037604,12932,169754214,12932,171292654,9.661,29.515,16.717,1.538,47.770,57.431
right,145374007,12932,145374007,12932,152918723,12932,153037604,12932,171277679,12932,172802865,7.545,0.119,18.240,1.525,19.884,27.429
left,183241950,12932,183241950,12932,195457655,12932,251406637,12932,266886605,12932,268732416,12.216,55.949,15.480,1.846,73.275,85.490
front,213828244,12932,213828244,12932,224213849,12932,251406637,12932,268048552,12932,269508873,10.386,27.193,16.642,1.460,45.295,55.681
right,245374417,12932,245374417,12932,251299988,12932,251406637,12932,269501722,12932,270877602,5.926,0.107,18.095,1.376,19.578,25.503
left,283208214,12932,283208214,12932,292646183,12932,353064658,12932,368260051,12932,369906911,9.438,60.418,15.195,1.647,77.261,86.699
front,313939913,12932,313939913,12932,321560697,12932,353064658,12932,369347770,12932,370570167,7.621,31.504,16.283,1.222,49.009,56.630
right,345382332,12932,345382332,12932,352940572,12932,353064658,12932,370343045,12932,371657649,7.558,0.124,17.278,1.315,18.717,26.275
left,383198310,12932,383198310,12932,392271191,12932,451708540,12932,467252089,12932,468947321,9.073,59.437,15.544,1.695,76.676,85.749
front,413835993,12932,413835993,12932,422375653,12932,451708540,12932,468369616,12932,469623089,8.540,29.333,16.661,1.253,47.247,55.787
right,445563787,12932,445563787,12932,451604685,12932,451708540,12932,469785668,12932,471916779,6.041,0.104,18.077,2.131,20.312,26.353
left,483207556,12932,483207556,12932,493491081,12932,553822695,12932,569937055,12932,571807053,10.284,60.332,16.114,1.870,78.316,88.599
front,513804086,12932,513804086,12932,523707205,12932,553822695,12932,571061827,12932,572521633,9.903,30.115,17.239,1.460,48.814,58.718
right,545423246,12932,545423246,12932,553701101,12932,553822695,12932,572457822,12932,573846820,8.278,0.122,18.635,1.389,20.146,28.424
left,583159123,12932,583159123,12932,592267490,12932,652777681,12932,669096960,12932,670921467,9.108,60.510,16.319,1.825,78.654,87.762
front,613811345,12932,613811345,12932,622520750,12932,652777681,12932,670259706,12932,671500042,8.709,30.257,17.482,1.240,48.979,57.689
right,645369382,12932,645369382,12932,652671577,12932,652777681,12932,671257960,12932,672479448,7.302,0.106,18.480,1.221,19.808,27.110
left,683194138,12932,683194138,12932,692695101,12932,751722538,12932,767805524,12932,769563873,9.501,59.027,16.083,1.758,76.869,86.370
front,713797140,12932,713797140,12932,722699808,12932,751722538,12932,768806996,12932,769989367,8.903,29.023,17.084,1.182,47.290,56.192
right,745374812,12932,745374812,12932,751620782,12932,751722538,12932,769743301,12932,770932811,6.246,0.102,18.021,1.190,19.312,25.558
left,783273343,12932,783273343,12932,792319837,12932,851463440,12932,867228644,12932,868907536,9.046,59.144,15.765,1.679,76.588,85.634
front,813808801,12932,813808801,12932,824212836,12932,851463440,12932,868334830,12932,869608742,10.404,27.251,16.871,1.274,45.396,55.800
right,845377473,12932,845377473,12932,851381984,12932,851463440,12932,869415199,12932,870718394,6.005,0.081,17.952,1.303,19.336,25.341
left,883228463,12932,883228463,12932,892931160,12932,951608235,12932,967352208,12932,969043868,9.703,58.677,15.744,1.692,76.113,85.815
front,913807131,12932,913807131,12932,924992335,12932,951608235,12932,968415611,12932,969666621,11.185,26.616,16.807,1.251,44.674,55.859
right,945431437,12932,945431437,12932,951490137,12932,951608235,12932,969436806,12932,970716980,6.059,0.118,17.829,1.280,19.227,25.286
left,983386492,12932,983386492,12932,992073909,12933,053076329,12933,070300059,12933,073040298,8.687,61.002,17.224,2.740,80.966,89.654
front,13792593,12933,013792593,12933,021728312,12933,053076329,12933,072417323,12933,074459846,7.936,31.348,19.341,2.043,52.732,60.667
right,45365407,12933,045365407,12933,052948415,12933,053076329,12933,074275519,12933,076035363,7.583,0.128,21.199,1.760,23.087,30.670
left,83158820,12933,083158820,12933,092055750,12933,152680238,12933,168060703,12933,169987500,8.897,60.624,15.380,1.927,77.932,86.829
front,113859998,12933,113859998,12933,122246107,12933,152680238,12933,169477894,12933,170958930,8.386,30.434,16.798,1.481,48.713,57.099
right,145421644,12933,145421644,12933,152598714,12933,152680238,12933,170780638,12933,172148487,7.177,0.082,18.100,1.368,19.550,26.727
left,183205415,12933,183205415,12933,192293382,12933,251724835,12933,266991400,12933,268802237,9.088,59.431,15.267,1.811,76.509,85.597
front,213831998,12933,213831998,12933,222274733,12933,251724835,12933,268310317,12933,269711784,8.443,29.450,16.585,1.401,47.437,55.880
right,245379004,12933,245379004,12933,251618941,12933,251724835,12933,269501589,12933,270908370,6.240,0.106,17.777,1.407,19.289,25.529
left,283209838,12933,283209838,12933,293277827,12933,351420861,12933,367228741,12933,369056983,10.068,58.143,15.808,1.828,75.779,85.847
front,313765980,12933,313765980,12933,321781884,12933,351420861,12933,368413664,12933,369710697,8.016,29.639,16.993,1.297,47.929,55.945
right,345380072,12933,345380072,12933,351305013,12933,351420861,12933,369432765,12933,370855903,5.925,0.116,18.012,1.423,19.551,25.476
left,383312996,12933,383312996,12933,392010282,12933,451485526,12933,468979317,12933,471116894,8.697,59.475,17.494,2.138,79.107,87.804
front,413799510,12933,413799510,12933,421534942,12933,451485526,12933,470187029,12933,471598746,7.735,29.951,18.702,1.412,50.064,57.799
right,445395982,12933,445395982,12933,451381006,12933,451485526,12933,471366116,12933,472556043,5.985,0.105,19.881,1.190,21.175,27.160
left,483215133,12933,483215133,12933,492219785,12933,551592528,12933,567116579,12933,568778810,9.005,59.373,15.524,1.662,76.559,85.564
front,513797029,12933,513797029,12933,521578243,12933,551592528,12933,568159789,12933,569360745,7.781,30.014,16.567,1.201,47.783,55.564
right,545385671,12933,545385671,12933,551460430,12933,551592528,12933,569122352,12933,570472547,6.075,0.132,17.530,1.350,19.012,25.087
left,583237323,12933,583237323,12933,593045239,12933,652968316,12933,668403809,12933,670167383,9.808,59.923,15.435,1.764,77.122,86.930
front,613784604,12933,613784604,12933,622627106,12933,652968316,12933,669533212,12933,670766380,8.843,30.341,16.565,1.233,48.139,56.982
right,645378280,12933,645378280,12933,652857292,12933,652968316,12933,670529998,12933,671829137,7.479,0.111,17.562,1.299,18.972,26.451
left,683222431,12933,683222431,12933,692465906,12933,751802926,12933,767092035,12933,768719063,9.243,59.337,15.289,1.627,76.253,85.497
front,713783774,12933,713783774,12933,722082404,12933,751802926,12933,768117989,12933,769479034,8.299,29.721,16.315,1.361,47.397,55.695
right,745365230,12933,745365230,12933,751695688,12933,751802926,12933,769119524,12933,770431064,6.330,0.107,17.317,1.312,18.735,25.066
