camera_id,msg_seq,t1_sec,t1_nsec,t2_sec,t2_nsec,t3_sec,t3_nsec,t4_sec,t4_nsec,lat_t1_t2_ms,lat_t2_t3_ms,lat_t3_t4_ms,lat_t1_t4_total_ms
right,446883139,32798,446883139,32798,450904918,32798,464639174,32798,466206744,4.022,13.734,1.568,19.324
left,518281667,32798,518281667,32798,525804363,32798,541162782,32798,542365615,7.523,15.358,1.203,24.084
front,532201462,32798,532201462,32798,536477278,32798,552246529,32798,554398879,4.276,15.769,2.152,22.197
right,544260558,32798,544260558,32798,550314984,32798,563932384,32798,565612729,6.054,13.617,1.680,21.352
left,621323981,32798,621323981,32798,628360970,32798,642580391,32798,643950489,7.037,14.219,1.370,22.627
front,640568952,32798,640568952,32798,645227392,32798,660606920,32798,662597210,4.658,15.380,1.990,22.028
right,657547123,32798,657547123,32798,663738950,32798,677425678,32798,678573270,6.192,13.687,1.148,21.026
left,721562352,32798,721562352,32798,728521944,32798,743256549,32798,744432885,6.960,14.735,1.176,22.871
front,735086917,32798,735086917,32798,738860575,32798,754482337,32798,756661595,3.774,15.622,2.179,21.575
right,746572649,32798,746572649,32798,750604153,32798,764163425,32798,765370505,4.032,13.559,1.207,18.798
left,821410323,32798,821410323,32798,828162464,32798,842320669,32798,843763965,6.752,14.158,1.443,22.354
front,836323034,32798,836323034,32798,843954774,32798,860015696,32798,862022558,7.632,16.061,2.007,25.700
right,853645500,32798,853645500,32798,861611058,32798,875381909,32798,876575485,7.966,13.771,1.194,22.930
left,921636009,32798,921636009,32798,928097535,32798,942879761,32798,944618400,6.462,14.782,1.739,22.982
front,940449295,32798,940449295,32798,944855827,32798,961014915,32798,963280798,4.407,16.159,2.266,22.832
right,951626395,32798,951626395,32798,956407091,32798,970451421,32798,971718159,4.781,14.044,1.267,20.092
left,21470135,32799,021470135,32799,028027982,32799,042313787,32799,043613741,6.558,14.286,1.300,22.144
front,41747966,32799,041747966,32799,045853259,32799,061402846,32799,062756002,4.105,15.550,1.353,21.008
right,52858107,32799,052858107,32799,057798173,32799,071801697,32799,073089142,4.940,14.004,1.287,20.231
left,115182970,32799,115182970,32799,122940265,32799,138061613,32799,139502667,7.757,15.121,1.441,24.320
front,133090028,32799,133090028,32799,138090530,32799,152827792,32799,153974193,5.001,14.737,1.146,20.884
right,145663324,32799,145663324,32799,149713913,32799,163700395,32799,164986722,4.051,13.986,1.286,19.323
left,221367075,32799,221367075,32799,228274515,32799,242547235,32799,243760656,6.907,14.273,1.213,22.394
front,236738315,32799,236738315,32799,241245421,32799,256118917,32799,257202049,4.507,14.873,1.083,20.464
right,248563538,32799,248563538,32799,253965357,32799,268298199,32799,269762702,5.402,14.333,1.465,21.199
left,316117040,32799,316117040,32799,325281975,32799,340703604,32799,342435882,9.165,15.422,1.732,26.319
front,336102955,32799,336102955,32799,342330864,32799,356862411,32799,358220247,6.228,14.532,1.358,22.117
right,349871179,32799,349871179,32799,355792940,32799,371386758,32799,372637542,5.922,15.594,1.251,22.766
left,421485649,32799,421485649,32799,431777213,32799,446121039,32799,447562638,10.292,14.344,1.442,26.077
front,445740830,32799,445740830,32799,450056454,32799,465095846,32799,466737205,4.316,15.039,1.641,20.996
right,457319697,32799,457319697,32799,461935501,32799,476546327,32799,478077115,4.616,14.611,1.531,20.757
left,521641705,32799,521641705,32799,528819968,32799,543713414,32799,544906490,7.178,14.893,1.193,23.265
front,536820494,32799,536820494,32799,541329028,32799,556493710,32799,557988248,4.509,15.165,1.495,21.168
right,548712574,32799,548712574,32799,554376767,32799,569332162,32799,571116557,5.664,14.955,1.784,22.404
left,615722722,32799,615722722,32799,622155347,32799,636681743,32799,637929934,6.433,14.526,1.248,22.207
front,630204243,32799,630204243,32799,634733818,32799,649391330,32799,650714349,4.530,14.658,1.323,20.510
right,641034148,32799,641034148,32799,645875197,32799,660604893,32799,662204783,4.841,14.730,1.600,21.171
left,722643865,32799,722643865,32799,728875820,32799,743108013,32799,744442122,6.232,14.232,1.334,21.798
front,736882946,32799,736882946,32799,741500841,32799,756262619,32799,757583546,4.618,14.762,1.321,20.701
right,753387579,32799,753387579,32799,758856880,32799,773173258,32799,775691611,5.469,14.316,2.518,22.304
left,821365068,32799,821365068,32799,828534592,32799,842374232,32799,843889006,7.170,13.840,1.515,22.524
front,841916325,32799,841916325,32799,845893848,32799,860767201,32799,862436962,3.978,14.873,1.670,20.521
right,858004285,32799,858004285,32799,864886079,32799,879895995,32799,881264269,6.882,15.010,1.368,23.260
left,922018748,32799,922018748,32799,928588403,32799,942584149,32799,944014403,6.570,13.996,1.430,21.996
front,936572274,32799,936572274,32799,940584151,32799,955673156,32799,956941558,4.012,15.089,1.268,20.369
right,947698797,32799,947698797,32799,951734982,32799,965945601,32799,967485046,4.036,14.211,1.539,19.786
left,18424418,32800,018424418,32800,024801688,32800,038760133,32800,040077872,6.377,13.958,1.318,21.653
front,37632626,32800,037632626,32800,042439706,32800,057308990,32800,058694058,4.807,14.869,1.385,21.061
right,56371823,32800,056371823,32800,061041012,32800,075286590,32800,076360099,4.669,14.246,1.074,19.988
left,114685623,32800,114685623,32800,121902786,32800,136315600,32800,137734587,7.217,14.413,1.419,23.049
front,128555403,32800,128555403,32800,134599587,32800,149613320,32800,150901813,6.044,15.014,1.288,22.346
right,140996618,32800,140996618,32800,146278866,32800,160504484,32800,161852728,5.282,14.226,1.348,20.856
left,221481764,32800,221481764,32800,228059864,32800,242086455,32800,243438467,6.578,14.027,1.352,21.957
front,236316124,32800,236316124,32800,240779960,32800,255807408,32800,256906934,4.464,15.027,1.100,20.591
right,252500488,32800,252500488,32800,258693641,32800,272924504,32800,274656918,6.193,14.231,1.732,22.156
left,321367784,32800,321367784,32800,329578580,32800,344429887,32800,345759515,8.211,14.851,1.330,24.392
front,338242275,32800,338242275,32800,343205338,32800,357933603,32800,359189111,4.963,14.728,1.256,20.947
right,349568352,32800,349568352,32800,354815504,32800,369108030,32800,370226866,5.247,14.293,1.119,20.659
left,414600028,32800,414600028,32800,421082213,32800,435432479,32800,436668991,6.482,14.350,1.237,22.069
front,434239826,32800,434239826,32800,438918765,32800,453579538,32800,454886119,4.679,14.661,1.307,20.646
right,449414888,32800,449414888,32800,456504833,32800,470497911,32800,471694594,7.090,13.993,1.197,22.280
left,521231152,32800,521231152,32800,528010787,32800,542426874,32800,544692041,6.780,14.416,2.265,23.461
front,540327934,32800,540327934,32800,545517920,32800,560128868,32800,561552577,5.190,14.611,1.424,21.225
right,555996235,32800,555996235,32800,561125755,32800,575415596,32800,576816497,5.130,14.290,1.401,20.820
left,617428215,32800,617428215,32800,624102236,32800,639846009,32800,641893197,6.674,15.744,2.047,24.465
front,633386351,32800,633386351,32800,638162825,32800,653016025,32800,654292481,4.776,14.853,1.276,20.906
right,644560799,32800,644560799,32800,649162276,32800,663289726,32800,664358718,4.601,14.127,1.069,19.798
left,714672331,32800,714672331,32800,721736010,32800,736920475,32800,739127966,7.064,15.184,2.207,24.456
front,731566376,32800,731566376,32800,736444837,32800,751105975,32800,752565000,4.878,14.661,1.459,20.999
right,743617230,32800,743617230,32800,747715627,32800,761626228,32800,762865539,4.098,13.911,1.239,19.248
left,820926686,32800,820926686,32800,827863243,32800,843194490,32800,845308742,6.937,15.331,2.114,24.382
front,838215098,32800,838215098,32800,842634401,32800,857624446,32800,858818862,4.419,14.990,1.194,20.604
right,849524524,32800,849524524,32800,854269288,32800,868530294,32800,869617159,4.745,14.261,1.087,20.093
left,922777292,32800,922777292,32800,929550420,32800,944965515,32800,946998984,6.773,15.415,2.033,24.222
front,937546039,32800,937546039,32800,942765453,32800,958249026,32800,959273276,5.219,15.484,1.024,21.727
right,948638459,32800,948638459,32800,953925179,32800,968109700,32800,969131571,5.287,14.185,1.022,20.493
left,21471161,32801,021471161,32801,027816115,32801,043004451,32801,044152588,6.345,15.188,1.148,22.681
front,37312477,32801,037312477,32801,041676129,32801,056640421,32801,057922048,4.364,14.964,1.282,20.610
right,54227660,32801,054227660,32801,058311294,32801,072302561,32801,073594887,4.084,13.991,1.292,19.367
left,121112724,32801,121112724,32801,128312049,32801,143700806,32801,145357308,7.199,15.389,1.657,24.245
front,136087095,32801,136087095,32801,140314241,32801,155476111,32801,156754838,4.227,15.162,1.279,20.668
right,148076961,32801,148076961,32801,152829224,32801,167349477,32801,168652882,4.752,14.520,1.303,20.576
left,221651514,32801,221651514,32801,228526720,32801,243185017,32801,244477852,6.875,14.658,1.293,22.826
front,236029375,32801,236029375,32801,240302855,32801,255350558,32801,256734966,4.273,15.048,1.384,20.706
right,249251987,32801,249251987,32801,253314309,32801,268087650,32801,269821671,4.062,14.773,1.734,20.570
left,315334433,32801,315334433,32801,321712633,32801,336686614,32801,337971949,6.378,14.974,1.285,22.638
front,329433788,32801,329433788,32801,334116487,32801,349044499,32801,350133359,4.683,14.928,1.089,20.700
right,340042040,32801,340042040,32801,344139235,32801,358673808,32801,359701087,4.097,14.535,1.027,19.659
left,418869793,32801,418869793,32801,425629322,32801,440241822,32801,441534625,6.760,14.613,1.293,22.665
front,439248280,32801,439248280,32801,444168201,32801,458733341,32801,459875642,4.920,14.565,1.142,20.627
right,449478947,32801,449478947,32801,454038323,32801,468636088,32801,469797505,4.559,14.598,1.161,20.319
left,519514809,32801,519514809,32801,526902680,32801,541822414,32801,543678661,7.388,14.920,1.856,24.164
front,536782148,32801,536782148,32801,540951724,32801,558133834,32801,559743539,4.170,17.182,1.610,22.961
right,548530510,32801,548530510,32801,553442032,32801,568364552,32801,569420210,4.912,14.923,1.056,20.890
left,614549592,32801,614549592,32801,622038292,32801,636692060,32801,637918673,7.489,14.654,1.227,23.369
front,627776209,32801,627776209,32801,632190836,32801,647014827,32801,648142332,4.415,14.824,1.128,20.366
right,639785337,32801,639785337,32801,643922171,32801,658479399,32801,660926430,4.137,14.557,2.447,21.141
left,715359947,32801,715359947,32801,723260634,32801,737985147,32801,739107259,7.901,14.725,1.122,23.747
front,731135124,32801,731135124,32801,736208669,32801,751937797,32801,753212746,5.074,15.729,1.275,22.078
right,742849494,32801,742849494,32801,747441021,32801,762636827,32801,764427261,4.592,15.196,1.790,21.578
left,821222889,32801,821222889,32801,828514473,32801,843076439,32801,844480015,7.292,14.562,1.404,23.257
front,835808649,32801,835808649,32801,840145916,32801,854991635,32801,856071759,4.337,14.846,1.080,20.263
right,847160287,32801,847160287,32801,851908510,32801,866303453,32801,867398272,4.748,14.395,1.095,20.238
left,915380900,32801,915380900,32801,921768864,32801,936195463,32801,937344254,6.388,14.427,1.149,21.963
front,928496015,32801,928496015,32801,933277659,32801,949226533,32801,951653545,4.782,15.949,2.427,23.158
