1748828785, 24029, 13, 26, 33, 97, 3383, 6190, 1471, 1875, 6654, 1924, 1050, 3741, 2126
1748828785, 7174, 5, 24, 26, 63, 3334, 4346, 490, 1669, 3884, 819, 1127, 5055, 461
1748828785, 5833, 5, 23, 24, 59, 3357, 4856, 266, 1325, 2552, 462, 806, 3644, 402
1748828786, 3926, 5, 24, 34, 68, 3888, 6948, 1437, 3401, 4258, 1091, 1002, 5436, 1523
1748828786, 7531, 4, 19, 30, 61, 3013, 5119, 454, 3930, 5082, 929, 1193, 4619, 554
1748828786, 12715, 5, 24, 32, 75, 3861, 6053, 1708, 2620, 4600, 729, 1104, 5710, 985
1748828786, 6580, 5, 20, 17, 49, 2487, 2576, 517, 1023, 1214, 570, 713, 4300, 1245
1748828786, 5920, 6, 18, 10, 42, 1727, 1726, 832, 690, 1061, 484, 776, 1517, 440
1748828786, 6041, 4, 17, 16, 44, 3178, 2887, 1006, 830, 1412, 974, 1666, 1296, 537
1748828786, 3710, 5, 16, 13, 40, 3204, 1661, 296, 683, 1164, 375, 2532, 830, 281
1748828786, 6690, 5, 17, 9, 39, 2682, 1263, 304, 495, 554, 253, 947, 1087, 267
1748828787, 3594, 5, 17, 9, 36, 1925, 1559, 456, 514, 676, 269, 1220, 995, 241
1748828787, 5328, 4, 20, 14, 43, 3786, 2646, 421, 842, 869, 403, 1583, 923, 263
1748828787, 4735, 5, 15, 11, 37, 1938, 2378, 591, 549, 566, 242, 1370, 1226, 276
1748828787, 4025, 4, 16, 15, 40, 1877, 1898, 350, 898, 5370, 634, 1444, 1050, 236
1748828787, 3578, 5, 18, 12, 39, 2090, 2330, 532, 635, 1019, 440, 1190, 1741, 412
1748828787, 10456, 5, 17, 22, 57, 2700, 2758, 1124, 1424, 3197, 1190, 3966, 2528, 916
1748828788, 18674, 8, 18, 16, 61, 2166, 3445, 956, 1085, 1864, 664, 797, 2412, 530
1748828788, 3941, 4, 19, 13, 41, 3017, 2278, 562, 1221, 2021, 1009, 289, 986, 329
1748828788, 6078, 8, 16, 11, 42, 1618, 1444, 622, 1035, 1301, 601, 362, 1461, 560
1748828788, 4685, 4, 17, 12, 38, 1676, 2057, 635, 940, 1653, 876, 504, 1283, 549
1748828788, 6833, 5, 16, 9, 38, 1321, 2324, 407, 1257, 1271, 293, 190, 519, 293
1748828788, 10108, 4, 16, 8, 40, 1353, 1361, 322, 1311, 1085, 385, 243, 796, 298
1748828788, 4971, 5, 16, 13, 40, 1625, 1816, 689, 889, 1493, 761, 662, 2982, 987
1748828789, 7748, 4, 15, 14, 42, 1090, 2783, 970, 1853, 2601, 786, 477, 1243, 307
1748828789, 6060, 6, 16, 14, 43, 970, 1270, 585, 963, 1786, 466, 2204, 2796, 406
1748828789, 11685, 4, 16, 17, 50, 2117, 2624, 800, 942, 1943, 468, 1787, 2573, 570
1748828789, 3504, 3, 16, 20, 44, 1274, 2607, 1380, 1578, 2604, 929, 4058, 2771, 682
1748828789, 7674, 5, 17, 15, 47, 1289, 2476, 727, 1846, 1623, 472, 1997, 1770, 648
1748828789, 5011, 4, 16, 15, 41, 1613, 1865, 492, 2901, 1598, 355, 1717, 1834, 614
1748828789, 3298, 5, 19, 12, 40, 1556, 1688, 517, 1371, 991, 544, 2007, 1410, 305
1748828789, 4570, 3, 14, 13, 37, 1080, 989, 402, 2260, 1546, 585, 3660, 1092, 456
1748828790, 5096, 3, 14, 8, 30, 383, 796, 264, 1698, 1182, 263, 847, 1047, 264
1748828790, 3018, 4, 15, 6, 28, 312, 624, 278, 1054, 927, 191, 750, 806, 194
1748828790, 2688, 4, 13, 5, 25, 264, 398, 161, 1003, 581, 189, 669, 789, 188
1748828790, 2322, 3, 15, 8, 29, 799, 765, 227, 1252, 561, 239, 1221, 886, 258
1748828790, 3101, 3, 13, 6, 27, 634, 1003, 234, 788, 806, 212, 288, 1291, 182
1748828790, 2576, 4, 14, 8, 29, 1207, 817, 269, 1173, 925, 244, 457, 1279, 666
1748828790, 4620, 2, 13, 9, 30, 1137, 779, 309, 967, 1189, 432, 632, 1558, 445
1748828790, 4618, 3, 14, 8, 29, 1129, 901, 162, 1073, 531, 164, 673, 1025, 280
1748828790, 2855, 2, 13, 7, 26, 930, 815, 164, 801, 716, 206, 857, 986, 194
1748828790, 2081, 2, 13, 7, 25, 1140, 657, 176, 1099, 498, 151, 744, 987, 377
1748828790, 2338, 3, 13, 5, 25, 1006, 840, 252, 349, 324, 169, 663, 715, 223
1748828791, 2295, 4, 14, 7, 28, 1609, 995, 217, 456, 454, 192, 1128, 732, 236
1748828791, 2168, 3, 14, 5, 25, 1068, 731, 159, 286, 386, 143, 1063, 582, 155
1748828791, 1914, 2, 14, 8, 28, 1932, 764, 284, 532, 543, 242, 1480, 1629, 169
1748828791, 2561, 2, 13, 8, 27, 1796, 795, 234, 903, 729, 218, 1691, 591, 211
